school_name,average_FOEI_2016/2017,2018_preliminary_RAM_total_funding,variance_to_2017_needs-based_allocation,"total_three_year_variance_(2016, 2017, 2018)"
Armidale High School,89,"643,225","16,104","105,514"
Arncliffe Public School,81,"511,517","8,761","123,699"
Arncliffe West Infants School,78,"219,341","45,654","81,444"
Arndell School,30,"22,937","1,037","12,739"
Arranounbai School,49,"42,859","5,448","24,255"
Artarmon Public School,3 or less,"814,531","150,457",320.07
Arthur Phillip High School,129,"2,415,339","-233,561","79,359"
Ashbury Public School,14,"293,062","-1,056","53,042"
Ashcroft High School,175,"1,665,885","8,347","115,328"
Ashcroft Public School,171,"957,908","-11,908","117,565"
Ashfield Boys High School,87,"782,313","35,413","53,422"
Ashfield Public School,34,"401,550","82,876","121,119"
Ashford Central Sc hool,155,"539,627","9,554","40,416"
Ashmont Public School,186,"1,004,462","72,432","180,931"
Ashtonfield Public School,82,"531,645","34,861","189,128"
Asquith Boys High School,64,"490,127","113,520","175,251"
Asquith Girls High School,52,"571,139","50,369","127,539"
Asquith Public School,33,"332,645","57,460","123,249"
Athelstane Public School,127,"800,850","38,643","165,831"
Attunga Public School,105,"71,438","8,170","22,621"
Auburn Girls High School,154,"2,042,436","-81,483","-54,890"
Auburn North Public School,124,1.42022,"96,949","227,743"
Auburn Public School,150,"1,697,430","-52,247","-41,291"
Auburn West Public School,165,"2,392,769",91.178,"425,812"
Aurora College,-,"56,265","6,137","6,634"
Austinmer Public School,19,"166,928","11,306","52,457"
Austral Public School,128,"536,021","18,989","154,416"
Austra lia Street Infa nts School,3 or less,"88,076","13,923","37,794"
Avalon Public School,23,"359,761","57,068","161,175"
Avoca Beach Public School,40,"269,153","44,467","115,654"
Avoca Public School,92,"26,591","-15,098","-9,500"
Awaba Public School,133,"56,652","13,170","28,921"
Balarang Public School,112,"371,243","-60,851","44,646"
Bald Blair Public School,58,"54,298","3,071","11,108"
Bald Face Public School,22,"235,341","50,233",8.3197
Balgowlah Heights Public School,3 or less,276.726,"20,621","116,119"
Balgowlah North Public School,3 or less,"254,996","33,335","111,463"
Balgownie Public School,54,238.458,"17,253","56,824"
Ballimore Public School,123,"42,066","5,984","9,492"
Ballina Coast High School,130,"1,456,304","423,274","541,802"
Ballina Public School,157,"820,629","40,074","154,980"
Balmain Public School,3 or less,"168,175",689,"44,607"
Balranald Central School,130,"456,620","43,775","190,026"
Bangalow Public School,22,"181,084",31.475,"67,089"
Bangor Public School,51,"299,471","36,189","120,827"
Banks Public School,120,"606,853","50,338","170,913"
Banksia Road Public School,138,"1,300,554","182,053","481,005"
Banksmeadow Public School,76,"285,399","94,816","147,622"
BankstownGirls High School,155,1.488107,97.43,"275,053"
Bankstown Hospital School,100,"12,487","1,573","7,760"
Bankstown North Public School,112,"725,994",41.345,"136,334"
Bankstown Public School,139,"2,148,111",-170.166,2.512
Bankstown Senior College,222,"2,284,953","423,917",442.469
Bankstown South Infants School,108,"259,878","-15,404","52,359"
BankstownWest Public School,117,"622,346","43,239","156,928"
Sanora Point High School,117,"824,632","103,826","338,206"
Sanora Point Public School,89,"518,488",76.466,"225,108"
Baradine Centra l School,165,"526,865","1,613","90,959"
Bardia Public School,85,"330,445","92,695","177,134"
Bardwell Park Infants School,31,"82,168","8,762","14,000"
Barellan CentralSchool,108,"236,765",49.788,"101,938"
Bargo Public School,106,"398,226","16,233","176,815"
Barham High School,102,"261,752","-6,984","42,396"
Barham Public School,98,"208,727","24,560","95,914"
Barkers Vale Public School,119,"76,673","4,573","13,567"
Barmedman Public School,164,"47,575",-3.098,"-17,221"
Barnier Public School,53,"726,086","119,070","180,324"
Barnsley Public School,122,"425,738","20,290","145,023"
Barooga Public School,110,"216,067","20,298","80,614"
Barraba Central School,140,"524,261",-2.584,"81,123"
Barrack Heights Public School,161,"743,411","41,347","166,630"
Barrenjoey High School,45,"329,519","31,541","121,358"
Barrington Public School,92,77.7,"10,458","26,132"
Barwon learning Centre,235,"132,576","17,864","73,524"
Baryulgil Public School,212,"121,396","45,046","129,656"
Bass High School,161,"1,906,143","-82,085","35,997"
Bass Hill Public School,146,"1,047,561","119,375","278,841"
Bateau Bay Public School,82,"499,037","-19,924","142,257"
Batemans Bay High School,127,"1,143,684","88,418","319,158"
Batemans Bay Public School,139,"1,380,909","36,857","420,183"
Bates Drive School,85,"64,940","17,222","38,682"
Bathurst Public School,90,"565,588","30,964","210,661"
Bathurst South Public School,116,"428,793","84,762","244,835"
Bathurst West Public School,126,"793,732","48,933","232,155"
Batlow Technology School,132,"292,494","2,287","19,202"
Baulkham Hills HighSchool,5,"470,556","62,258","204,246"
Baulkham Hills North Public School,19,"578,288","54,524","170,332"
Beacon Hill Public School,32,"317,827","3,488","80,509"
Beaumont Hills Public School,40,"426,637","49,167","105,776"
Beaumont Road Public School,3 or less,"209,695","18,889","79,266"
Beauty Point Public School,3 or less,"194,228","22,191",65.605
Beckom Public School,149,"43,102","1,961","14,568"
Bedgerebong Public School,133,"119,699","-23,574","-34,067"
Beechwood Public School,98,"135,731","21,027","58,917"
Beecroft Public School,3 or less,"589,558","141,398","258,502"
Beelbangera Public School,86,"196,918","-14,800","20,100"
Bega High School,105,"999,152","58,740",340.555
Bega Valley Public School,129,"685,091","-6,232","135,611"
Belair Public School,30,"278,648","43,146","114,757"
Bellambi Public School,160,"524,018","4,921","54,425"
Bellata Public School,151,"87,715","3,763","49,306"
Bellbird Public School,132,"469,674","8,328","140,345"
Bellbrook Public School,165,"145,123","-4,489","38,499"
Bellevue Hill Public School,3 or less,"467,352",12.664,"158,687"
Bellingen High School,86,"603,521","67,177","172,432"
Bellingen Public School,83,"409,081","15,496","100,358"
Belltrees Public Sc hool,94,"40,616","12,880","24,923"
Belmont High School,108,"947,127","26,671","375,393"
Belmont North Public School,131,"364,179","93,327","210,069"
Belmont Public School,128,"463,166","16,086","151,835"
Belmore Boys High School,134,"674,965","-41,610","66,773"
Belmore North Public School,134,"714,675","65,770","239,864"
Belmore South Public School,118,"536,758","21,544","138,753"
Belrose Public School,20,"172,503","26,293","69,077"
Bemboka Public School,113,"99,624","18,906","39,510"
Ben lomond Public School,85,"26,176","2,261","6,390"
BenVenue Public School,63,"488,468",81173,"143,097"
Bendemeer Public School,113,"57,763","7,351","15,237"
Bennett Road Public School,151,"1,291,590","-96,723","307,806"
Berala Public School,118,"1,530,289","104,247","545,465"
Beresfield Public School,141,"555,073","-54,744","37,427"
Beresford Road Public School,86,"632,941","113,262","210,427"
Berinba Public School,94,"376,374","70,877","160,592"
Berkeley Public School,143,"730,385","7,145","136,182"
Berkeley Vale Public School,103,"721,081","55,436","326,580"
Berkeley West Public School,151,"478,517","-42,135","65,967"
Bermagui Public School,101,"300,504","55,204","155,294"
Berowr a Public School,31,"229,784","36,887","96,206"
Berridale Public School,106,"78,454","-2,548","20,252"
Berrigan Public School,117,"130,406","-7,966","38,244"
Berrima Public School,58,"99,890","15,409","43,730"
Berry Public School,45,"189,141","13,753","68,522"
Bert Oldfield Public School,75,"324,762","19,315","124,336"
Beverley Park School,137,"102,695","5,473","56,570"
Beverly Hills Girls High School,107,"1.391,197","26,454","409,271"
Beverly Hills North Public School,67,"661,679","120,308","120,881"
Beverly Hills Public School,64,"619,633","90,339","209,071"
Bexhill Public School,66,"75,497","17,154","36,845"
Bexley North Public School,40,"462,830","78,198","136,337"
Bexley Public School,105,"527,828","-42,790","21,798"
Biddabah Public School,69,"247,019","-22,000","53,994"
Bidwill Public School,177,"1,523,580","19,421","147,946"
Bigga Public School,103,"33,243",166,"11,857"
Bilambil Public School,94,"332,275","44,222","134,807"
Bilgola Plateau Public School,15,"219,729","13,864","73,870"
Billabong High School,117,"613,822","20,957","168,586"
Bilpin Public School,72,"43,110","1,636","14,112"
Binalong Public School,99,"51,342","2,308","15,437"
Binda Public School,135,"58,159","-2,325","12,350"
Bingara Centra l School,121,"433,419","-1,793","76,140"
Binnaway CentralSchool,175,"247,428","-11,883","-19,579"
Binya Public School,48,27.238,-496,"4,761"
Biraban Public School,153,"317,522","-12,113","50,944"
Birchgrove Public School,3 or less,201.158,"30,710","75,478"
Birrong Boys High School,156,"1,031,572","49,291","119,891"
Birrong Girls High Sc hool,142,"1,674,264","32,812","273,646"
Birrong Public School,120,"953,766","128,672","316,738"
Black Hill Public School,96,"92,261","16,546","41,503"
Black Mountain Public School,102,"62,775","7,471","27,111"
Black Springs Public School,103,"30,966","10,027","21,035"
Blackalls Park Public School,140,"455,016","-11,238","97,011"
Blackett Public School,176,"869,348","-11,157","60,363"
Blackheath Public School,43,"223,648","24,812","70,771"
Blacksmiths Public School,89,"79,628","6,855","31,223"
Blacktown Boys High School,75,"487,680","65,689","54,307"
Blacktown Girls High School,93,"941,914","-5,216","214,815"
Blacktown North Public School,116,"458,419","-13,344","165,050"
Blacktown South Public School,58,"1,092.42","133,842","298,586"
Blacktown West Public School,115,"656,480","-45,341","79,355"
Blackville Public School,189,"72,464","1,092","43,104"
Blackwell Public School,108,"658,107","2,697","216,505"
Blairmount Public School,154,1.273826,"140,257","470,350"
Blakebrook Public School,100,"92,389","18,272","41,426"
Blakehurst High School,77,"1,104,100","133,024","330,208"
Blakehurst Public School,73,"327,870","43,489","71,842"
Blandford Public School,68,"51,062","-7,489","6,452"
Blaxcell Street Public School,141,2.18867,"-40,286","207,499"
Blaxland East Public School,48,"254,390","35,874","87,807"
Blaxland High School,59,"585,287","105,974","213,742"
Blaxland Public School,60,"115,688","-15,828","11,947"
Blayney High School,121,"591,655","47,944","161,913"
Blayney Public School,110,"394,466","32,733","175,611"
Bletchington Public School,106,"707,662","87,336","350,024"
Bligh Park Public School,127,"568,904","29,024","147,580"
Blighty Public School,93,"50,585","11,334","20,079"
Blue Haven Public School,140,"1,123,020","39,335","347,247"
Boambee Public School,93,"423,373","77,641","212,485"
Bobin Public School,98,"31,704","-1,590","11,315"
Bobs Farm Public School,111,"58,520","26,461","36,797"
Bodalla Public School,106,"154,639","-2,490","53,917"
Bogan Gate Public School,184,"55,657","3,761","-1,088"
Bogangar Public School,82,"253,867","-5,663","55,412"
Boggabilla Central School,182,"794,548","52,279","36,026"
Boggabri Public School,144,"333,857",12.456,"65,704"
Bolwarra Public School,62,"275,066","32,245","89,988"
Bomaderry High School,102,"831,545","54,957","272,385"
Bomaderry Public School,143,"828,223",-5.78,274.505
Bombala High School,133,"318,312","7,028","27,278"
Bombala Public School,114,"243,978","-18,117","36,740"
Bonalbo CentralSchool,156,"495,378",13.109,"137,846"
Bondi Beach Public School,3 or less,"306,638","45,487","129,415"
Bondi Public School,3 or less,"272,080","30,892","100,727"
Bongongo Public School,103,"44,510","9,381","22,306"
Bonnells Bay Public School,112,"534,451","34,653","241,500"
Bonnet Bay Public School,42,"118,329","35,524","63,208"
Bonnyrigg Heights Public School,113,"1,422,387","-24,834","382,005"
Bonnyrigg High School,129,"2,396,908","261,430","448,720"
Bonnyrigg Public School,169,"887,066","19,100","131,789"
Bonshaw Public School,33,"46,267","10,662","22,656"
Bonville Public School,94,"127,551","17,396","66,131"
Boolaroo Public School,134,"132,351","17,762","38,066"
Booligal Public School,49,"31,082","-1,700","6,749"
Boomi Public School,92,"94,103","18,967","31,176"
Booragul Public School,137,"460,787","15,442","109,272"
Booral Public School,118,"126,783","28,752","66,544"
Boorowa CentralSchool,128,"476,891","4,559","130,422"
Boree Creek Public School,115,"53,827","-7,384","10,717"
Borenore Public School,70,"33,247","7,531","14,130"
Boronia Park Public School,3 or less,"306,398","76,156","129,248"
Bossley Park High School,120,"1,911,894","173,062","643,079"
Bossley Park Public School,129,"962,502","306,920","493,024"
Botany Bay Environmental Education Centre,-,"9,202","1,405","4,932"
Botany Public School,57,"222,675","-46,042","13,276"
Bourke High School,170,"907,525","-42,709","127,399"
Bourke Public School,171,"1,405,030","22,496","220,820"
Bourke Street Public School,21,"353,159","69,263","115,255"
Bourke-Walgett School of Distance Education,94,"86,196","-12,059","-4,431"
Bournda Environmental Education Centre,-,"18,221","3,311","10,681"
Bowen Public School,171,"1,038,183","228,411","463,000"
Bowning Public School,145,"89,208","17,064","31,522"
Bowral High School,102,"809,897","44,764","301,209"
Bowral Public School,44,"377,227","40,765","140,327"
Bowraville Central School,153,"833,755","19,969","208,172"
Bradbury Public School,105,"744,041","18,563","256,354"
Braddock Public School,177,"888,908","174,261","339,613"
Bradfordville Public School,121,"407,896","58,965","164,601"
Braidwood Central School,94,"468,571","20,666","91,766"
Branxton Public School,121,"541,962",41.813,"230,093"
Breadalbane Public School,93,"20,261","-4,154","2,360"
Bredbo Public School,131,"40,201","15,558","23,348"
Brewarrina Central School,202,"1,286,044","5,828","69,999"
Brewongle Environmental Education Centre,-,"16,371","2,953","9,749"
Briar Road Public School,183,"1,075,595","-53,267","152,550"
Bribbaree Public School,175,"61,196",-4.03,"1,491"
Bridge Road School,104,"43,049","6,941","18,321"
Brighton-le-Sands Public School,60,"767,704","42,383","132,516"
Bringelly Public School,132,"276,020","-67,271",-9.452
Brisbane Water Secondary College Umina Campus,122,"1,401,950","-64,075","304,859"
Brisbane Water Secondary College Woy Woy Campus,127,"946,474","100,394","334,337"
Brisbania Public School,68,"298,991","55,248","130,127"
Broadwater Public School,90,"52,175","12,156","23,880"
Brocklesby Public School,101,"27,414",-414,"7,414"
Broderick Gillawarna School,128,"175,714",52,"40,522"
Broke Public School,121,"131,917","21,204","65,045"
Broken Hill High School,125,"1,223,152","45,592","255,653"
Broken Hill North Public School,159,"888,229","18,195","195,982"
Broken Hill Public School,134,454.56,"49,514","164,061"
Bronte Public School,3 or less,"187,306","15,793",71.138
Brooke Avenue Public School,132,"862,576","2,355","238,169"
Brooklyn Public School,28,"57,513","2,906","8,824"
Brookvale Public School,65,"277,121","23,606","66,532"
Broulee Public School,84,"288,492","40,627","117,853"
Brungle Public School,200,"83,836","-2,230","28,519"
Brunswick Heads Public School,74,"165,371","-17,423","14,731"
Budawang School,164,"85,802","7,701","37,745"
Budgewoi Public School,131,"967,998","46,747","350,798"
Bulahdelah Central School,133,"808,683",-865,"233,706"
Bullarah Public School,104,"34,989",-795,"3,670"
Bulli High School,69,"523,320","79,306","178,170"
Bulli Public School,47,"149,693","2,329","31,207"
BullimbalSchool,130,"113,192","19,158","55,748"
Bundanoon Public School,66,"143,459","1,851","33,822"
Bundarra Central School,159,"366,491","-124,755",-130.408
Bundeena Public School,42,"185,807","29,894","64,674"
Bungendore Public School,55,"358,856","50,008","108,258"
Bungwahl Public School,107,"45,937","-7,448","7,745"
Buninyong Public School,165,"1,531,605","138,503","416,234"
Bunnaloo Public School,67,"55,533","7,638","17,395"
Burke Ward Public School,132,"692,919","12,949","212,540"
Burnside Public School,13,"208,776","20,583","73,198"
Buronga Public School,145,"328,247","22,617","118,542"
Burraneer Bay Public School,35,"315,690","35,734","129,264"
Burrawang Public School,48,"28,773",239,"6,021"
BurrenJunction Public School,78,"84,518",545,"17,466"
Burringbar Public School,112,"95,951","19,119","40,954"
Burrumbuttock Public School,112,"50,519",938,"11,501"
Burwood Girls High School,43,"1,057,140","158,232","181,432"
Burwood Public School,32,"819,131","101,809","102,450"
Busby Public School,169,"811,131","-5,735","142,636"
Busby West Public School,145,"1,305,581","22,018","94,261"
Buxton Public School,104,"230,910","18,685","78,672"
Byron Bay High School,57,"492,796","35,780",125.497
Byron Bay Public School,41,"359,593","30,369","101,334"
Cabbage Tree Island Public School,205,"146,523","28,556","74,811"
Cabramatta High School,160,"2,735,756","157,861","280,965"
Cabramatta Public School,156,"1,933,067","-153,263","-46,872"
Cabramatta West Public School,154,"1,725,297","124,328","223,667"
Cabramurra Public School,99,"26,438",775,"5,181"
Caddies Creek Public School,26,"875,995",47.68,"249,108"
Cairnsfoot School,75,"109,045",2.172,"36,620"
Calare Public School,96,"703,424","115,410","314,562"
Caldera School,164,"100,726","13,003","35,261"
Callaghan College Jesmond Campus,112,"864,195","87,722","303,904"
Callaghan College Wallsend Campus,117,"1,541,527","175,660","550,377"
Callaghan College Waratah Technology Campus,128,"1,252,530","149,013","341,199"
Callala Public School,108,"300,413","-27,694","88,757"
Cambewarra Public School,79,"261,473","21,176","94,727"
Cambridge Gardens Public School,113,"518,908","46,031","197,048"
Cambridge Park High School,142,"1,692,856",172.646,"583,808"
Cambridge Park Public School,143,"1,347.97","110,102","417,989"
Camden Haven High School,110,"1,293,844","-1,543","250,734"
Camden High School,99,"1,009,921","153,759","453,382"
Camden Park Environmental Education Centre,-,"9,202","1,405","4,932"
Camden Public School,74,"239,861","49,917","96,330"
Camden South Public School,72,"472,817","27,191","179,183"
Camdenville Public School,27,"202,157","45,943","100,496"
Cammeray Public School,3 or less,"401,654","41,892","150,127"
Cammeraygal HighSchool,5,"259,375","71,408","136,246"
Campbell House School,188,"161,728","-6,127","12,353"
Campbellfield Public School,130,"573,999","143,865","285,702"
Campbelltown East Public School,131,"592,892","3,338","191,531"
Campbelltown North Public School,129,"738,834","73,473","178,715"
Campbelltown Performing Arts High School,121,"1,618,194","61,370","486,593"
Campbelltown Public School,125,"601,848","59,600","202,283"
Campsie Public Sc hool,84,"1,140,135","112,267","356,657"
Candelo Public School,89,"74,107","7,246","26,138"
Caniaba Public School,112,"111,769","33,155","59,709"
Canley Heights Public School,153,"1,549,782","-25,244","11,362"
Canley Vale High School,151,"2,601,813","220,225","605,494"
Canley Vale Public School,136,"2,099,293","-13,912","207,422"
Canobolas Public School,62,73.983,"19,351","37,712"
Canobolas Rural Technology High School,150,"1,880,137","238,200","381,227"
Canowindra High School,116,"378,225","-9,247","76,589"
Canowindra Public School,102,"236,403","-28,362","35,414"
Canterbury Boys High School,104,"480,552","59,779","114,954"
Canterbury Girls High School,76,"644,758","37,688","153,977"
Canterbury Public School,53,"352,989","18,420","109,661"
Canterbury South Public School,58,"302,887","29,081","70,539"
Canterbury Vale School,175,"60,823","17,835","30,146"
Capertee Public School,45,"33,353","13,658","25,547"
Captains Flat Public School,104,"67,056","-3,288","-3,303"
Caragabal Public School,76,"47,428","4,386","15,957"
Carcoar Public School,62,"29,742","10,832","23,242"
Cardiff High School,114,"903,286","78,334","387,021"
Cardiff North Public School,109,"174,450","13,416","85,518"
Cardiff Public School,103,"247,740","1,019","68,273"
Cardiff South Publ c School,106,"335,781","-2,289","144,174"
Carenne School,155,"269,021","19,846","80,694"
Cargo Public School,151,"69,090","17,295","37,652"
Carinda Public School,80,"42,348",-724,"8,869"
Caringbah High School,12,"342,156","50,983","132,768"
Caringbah North Public School,49,"312,661","-3,171","101,527"
Caringbah Public School,61,"182,823","25,908","48,950"
Carinya School,153,"108,283","11,529","46,984"
Carlingford High School,29,"1,042,302","255,069","406,506"
Carlingford Public School,21,"628,342","215,851","370,472"
Carlingford West Public School,5,"1,075,344","127,309","324,982"
Carlton Public School,58,"1,066,608","59,481","252,677"
Carlton South Public School,43,"708,581","121,692","174,950"
Caroline Chisholm School,131,"192,797","32,467","97,122"
Carool Public School,162,"59,356","31,922","40,133"
Carramar Public School,152,"720,351","3,071","76,667"
Carrathool Public School,82,"33,583","4,332",2.349
Carrington Public School,83,"116,381","10,011","44,573"
Carroll Public School,146,"97,957","-8,580",-1
Cartwright Public School,160,"598,511","86,401","122,224"
Cascade Environmental Education Centre,-,"10,057","2,059","6,266"
Casino High School,154,"1,896,925","-8,845","279,684"
Casino Public School,143,"1,811,642","224,046","603,163"
Casino West Public School,179,"1,177,137","72,983","349,687"
Cassilis Public School,165,"53,941","-14,988","2,966"
Castle Cove Public School,3 or less,"269,649","38,631","78,200"
Castle Hill High School,31,"936,235","110,043","299,936"
Castle Hill Public School,13,"609,819","84,656","207,924"
Castlereagh Public School,110,"102,786","6,391","37,801"
Casuarina School,181,"122,448","1,013","12,625"
Casula High School,132,"1,372.46","79,198","340,982"
Casula Public School,114,"1,398,789","265,547","679,183"
Cattai Public School,85,"54,230",11.123,27.046
Caves Beach Public School,67,"262,239","28,136","94,329"
Cawdor Public School,89,"75,602","9,650","32,076"
Cecil Hills High School,118,1.63611,"80,310","631,033"
Cecil Hills Public School,85,"667,988","-7,613","213,758"
Centaur Public School,121,"751,581","48,950","345,943"
Centennial Park School,82,"30,556","-3,864","13,279"
Central Mangrove Public School,103,"89,148","-7,635","34,229"
Central Tilba Public School,77,"44,311","5,976","13,084"
Cessnock East Public School,174,"658,794","-65,750","33,034"
Cessnock High School,154,"1,642.43","126,086","280,417"
Cessnock Public School,155,"813,469","4,080","104,649"
Cessnock West Public School,148,1.000801,"133,023","326,780"
Chalmers Road Sc hool,112,"87,635","3,628","39,915"
Chandler Public School,108,"40,114","-4,901","14,101"
Charlestown East Public School,86,201.418,"18,110","73,030"
Charlestown Public School,96,"138,066","4,189","56,541"
Charlestown South Public School,89,"186,665","10,215","78,416"
Chatham High School,159,"1,836,651","81,396","377,768"
Chatham Public School,173,"953,092",298,"166,446"
Chatswood High School,28,"1,257,435","99,011","274,871"
Chatswood Public School,3 or less,"1,077,109","87,871","413,807"
Chatsworth Island Public School,106,"65,855",-47,"23,941"
Cheltenham Girls High School,12,"775,612","94,073","285,827"
Cherrybrook Public School,3 or less,"616,791","93,507","211,658"
Cherrybrook Technology High School,10,898.462,"163,140","265,053"
Chertsey Primary School,118,"373,712","21,266","120,011"
Chester Hill High School,160,"2,745,148","279,414","480,613"
Chester Hill North Public School,148,1.423887,"69,856","419,788"
Chester Hill Public School,145,"1,661,081","135,385","295,226"
Chifley College Bidwill Campus,170,"2,164,449","182,628","276,633"
Chifley College Dunheved Campus,172,"1,250,883","123,734","237,034"
Chif ley College Mount Druitt Campus,173,"1,800,610","-228,495","-146,661"
Chifley College Senior Campus,165,"1,620,962","66,145","135,824"
Chifley College ShaIvey Campus,185,1.446512,"3,849","10,885"
Chifley Public School,85,"292,237","31,900","118,573"
Chillingham Public School,154,"106,142","20,640","48,389"
Chipping Norton Public School,85,"406,980","33,915","202,761"
Chit taway Bay Public School,108,"391,585","7,054",158.406
Chullora Public School,144,"932,310","15,103","154,079"
Clairgate Public School,112,"502,501","18,404","173,892"
Clare Public School,116,"35,486",-50,"10,817"
Claremont Meadows Public School,103,"627,998","95,326","309,571"
Clarence Town Public School,113,"210,240","46,185","97,475"
Clarke Road School,42,"71,576","23,499","38,964"
Claymore Public School,163,"984,919","-76,651","81,206"
Clemton Park Public School,63,"607,646","38,876","186,140"
Clergate Public School,96,"90,446","26,340","55,649"
Clovelly Public School,3 or less,"271,978","56,493","127,175"
Clunes Public School,55,"71,502","8,157","20,199"
Coal Point Public School,56,"135,693","7,599","38,945"
Cobar High School,109,"591,192","-32,194","27,911"
Cobar Public School,122,"714,757","63,540","234,362"
Cobargo Public School,97,"96,295","-8,168","5,592"
Cobbitty Public Sc hool,75,"224,430","30,604","79,596"
Coffee Camp Public School,72,"60,605","-1,481","10,186"
Coffs Harbour High School,105,"1,389,598","221,151","597,443"
Coffs Harbour learning Centre,158,"66,935","-3,310","16,112"
Coffs Harbour Public School,146,"1,182,471","92,997","292,908"
Coffs Harbour Senior College,71,"443,670","13,538","33,521"
Coleambally Centra lSchool,108,"437,835","63,411","153,875"
Coleda le Public School,26,"73,511",18.31,"37,162"
Collarenebri Central School,192,"744,124","146,441","145,389"
Collaroy Plateau Public School,29,"282,133","41,093","102,669"
Collector Public School,80,"33,538","2,758","4,632"
Collingullie Public School,74,"22,804","-7,362","-1,806"
Collins Creek Public School,99,"24,692","1,815","6,578"
Colo Heights Public School,150,"122,733","4,646","29,727"
Colo High School,85,"637,890","55,504","186,201"
Colo Vale Public School,106,"251,611","16,374","96,194"
Colyton High School,149,"1,841,952","5,725","246,936"
Colyton Public School,90,"967,733","107,309","339,029"
Comboyne Public School,119,"82,404","5,099","1,109"
Comleroy Road Public School,83,"121,172","26,083","50,736"
Como Public Sc hool,46,"72,298","3,498","20,725"
Como West Public School,24,"226,248","49,176","106,896"
Conargo Public School,112,"51,086","-5,083","10,045"
Concord High School,49,"888,242","195,642","331,084"
Concord Public School,46,"328,486","34,437","77,437"
Concord West Public School,11,"337,775","27,016","42,251"
Condell Park High School,156,"2,230,165","281,806","761,185"
Condell Park Public School,132,"1,209,212","32,653","270,552"
Condobolin High School,142,"816,606","12,846","118,441"
Condobolin Public School,137,"992,254","-40,808","108,082"
Condong Public School,142,"104,734","7,114","37,689"
Congewai Public School,127,"35,358","-8,624","4,805"
Coniston Public School,114,"279,903","-40,198","22,374"
Connells Point Public School,27,"419,336","52,287","147,616"
Conservatorium High School,3 or less,"109,985","24,121","42,590"
Cooerwull Public Sc hool,138,"769,558","87,237","337,081"
Coogee Public School,3 or less,"312,399","46,907","109,696"
Cook School,134,"64,692","24,945","41,248"
Coolah CentralSchool,124,"551,963","60,559","170,275"
Coolamon Central School,114,"475,819","16,883","164,255"
Coolongolook Public School,167,"121,901","18,123","19,451"
Cooma North Public School,96,"379,975","71,801","177,419"
Cooma Public School,106,"344,759","53,057","144,938"
Coomealla High School,128,"695,450","20,243","85,270"
Coonabarabran High School,106,"679,964","50,734","171,781"
Coonabarabran Public School,132,"819,029","34,747","265,750"
Coonamble High School,155,"1,052,265","-42,588","128,116"
Coonamble Public School,191,"1,538,727","-22,352","198,032"
Coopernook Public School,154,"141,808","43,086","95,808"
Coorabell Public School,29,"74,442","17,121","39,159"
Cooranbong Public Sc hool,127,"372,334","104,933","218,960"
Cootamundra High School,130,"623,591","76,716","181,993"
Cootamundra Public School,106,"413,937","56,538","180,371"
Copacabana Public School,43,"189,197","31,151","71,016"
Copmanhurst Public Sc hool,155,"194,421","52,847","95,125"
Coraki Public School,191,"372,008","-2,125","53,473"
Coramba Public School,114,"80,149","-2,994","-3,653"
Coreen School,213,"219,095","-5,846","37,713"
